bse_code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades,report link
534076,RHIM,A,588.05,603.25,586.3,587.55,8431,50.03,647,https://www.bseindia.com/stock-share-price/rhim/rhim/534076/financials-annual-reports/
532733,SUNTV,A,824.55,824.55,788.0,790.5,6179,49.24,598,https://www.bseindia.com/stock-share-price/suntv/suntv/532733/financials-annual-reports/
532313,MAHLIFE,A,513.0,513.0,493.3,494.9,9669,48.5,513,https://www.bseindia.com/stock-share-price/mahlife/mahlife/532313/financials-annual-reports/
512179,SUNTECK,A,575.0,575.0,562.55,563.65,8436,47.77,526,https://www.bseindia.com/stock-share-price/sunteck/sunteck/512179/financials-annual-reports/
543960,CONCORDBIO,A,1983.95,1983.95,1875.0,1879.0,2450,46.62,365,https://www.bseindia.com/stock-share-price/concordbio/concordbio/543960/financials-annual-reports/
543271,JUBLINGREA,A,740.0,745.8,729.85,732.65,6314,46.42,357,https://www.bseindia.com/stock-share-price/jublingrea/jublingrea/543271/financials-annual-reports/
500271,MFSL,A,1203.4,1208.95,1182.0,1183.55,3886,46.4,506,https://www.bseindia.com/stock-share-price/mfsl/mfsl/500271/financials-annual-reports/
523395,3MINDIA,A,35127.95,35249.0,34300.0,34388.5,130,45.14,102,https://www.bseindia.com/stock-share-price/3mindia/3mindia/523395/financials-annual-reports/
540716,ICICIGI,A,2104.3,2125.45,2074.6,2080.9,2153,45.0,472,https://www.bseindia.com/stock-share-price/icicigi/icicigi/540716/financials-annual-reports/
543397,SAPPHIRE,A,364.0,364.0,346.45,357.3,12674,44.62,510,https://www.bseindia.com/stock-share-price/sapphire/sapphire/543397/financials-annual-reports/
543308,KIMS,A,535.55,543.8,528.0,541.65,8244,44.29,630,https://www.bseindia.com/stock-share-price/kims/kims/543308/financials-annual-reports/
500133,ESABINDIA,A,5920.1,6265.0,5920.1,6213.6,714,44.17,266,https://www.bseindia.com/stock-share-price/esabindia/esabindia/500133/financials-annual-reports/
543374,ABSLAMC,A,710.0,710.0,695.0,695.95,6286,44.1,575,https://www.bseindia.com/stock-share-price/abslamc/abslamc/543374/financials-annual-reports/
543463,MANYAVAR,A,1315.05,1336.1,1289.75,1298.7,3371,43.93,389,https://www.bseindia.com/stock-share-price/manyavar/manyavar/543463/financials-annual-reports/
507815,GILLETTE,A,8996.65,9074.05,8911.75,8947.95,484,43.68,155,https://www.bseindia.com/stock-share-price/gillette/gillette/507815/financials-annual-reports/
544012,CELLO,B,924.0,924.0,880.65,891.7,4799,42.83,513,https://www.bseindia.com/stock-share-price/cello/cello/544012/financials-annual-reports/
539978,QUESS,A,734.65,766.85,725.75,727.45,5757,42.56,714,https://www.bseindia.com/stock-share-price/quess/quess/539978/financials-annual-reports/
500660,GLAXO,A,2844.05,2887.65,2753.0,2759.6,1484,41.75,367,https://www.bseindia.com/stock-share-price/glaxo/glaxo/500660/financials-annual-reports/
522074,ELGIEQUIP,A,673.05,673.65,663.2,666.5,6104,40.71,555,https://www.bseindia.com/stock-share-price/elgiequip/elgiequip/522074/financials-annual-reports/
540935,GALAXYSURF,A,2902.0,3030.0,2896.5,2979.3,1358,40.23,460,https://www.bseindia.com/stock-share-price/galaxysurf/galaxysurf/540935/financials-annual-reports/
522287,KPIL,A,1350.1,1350.1,1315.0,1324.5,3015,40.13,426,https://www.bseindia.com/stock-share-price/kpil/kpil/522287/financials-annual-reports/
543398,LATENTVIEW,A,470.15,474.3,465.45,468.95,8264,38.86,461,https://www.bseindia.com/stock-share-price/latentview/latentview/543398/financials-annual-reports/
540743,GODREJAGRO,A,753.65,766.0,749.0,759.95,5077,38.58,602,https://www.bseindia.com/stock-share-price/godrejagro/godrejagro/540743/financials-annual-reports/
530517,RELAXO,A,785.0,804.6,785.0,801.2,4789,38.25,670,https://www.bseindia.com/stock-share-price/relaxo/relaxo/530517/financials-annual-reports/
500165,KANSAINER,A,297.25,297.25,290.5,291.3,12826,37.54,623,https://www.bseindia.com/stock-share-price/kansainer/kansainer/500165/financials-annual-reports/
532927,ECLERX,A,3109.15,3143.95,3059.3,3070.7,1200,37.19,254,https://www.bseindia.com/stock-share-price/eclerx/eclerx/532927/financials-annual-reports/
543524,RAINBOW,A,1395.7,1415.3,1390.4,1400.1,2641,37.05,296,https://www.bseindia.com/stock-share-price/rainbow/rainbow/543524/financials-annual-reports/
500092,CRISIL,A,4600.0,4600.0,4462.65,4505.8,809,36.34,269,https://www.bseindia.com/stock-share-price/crisil/crisil/500092/financials-annual-reports/
542399,CHALET,A,880.0,895.9,880.0,884.4,4054,36.07,445,https://www.bseindia.com/stock-share-price/chalet/chalet/542399/financials-annual-reports/
500164,GODREJIND,A,1104.0,1133.05,1095.0,1100.0,3058,34.14,368,https://www.bseindia.com/stock-share-price/godrejind/godrejind/500164/financials-annual-reports/
500252,LMW,A,14500.0,17677.8,14500.0,16971.45,200,33.91,116,https://www.bseindia.com/stock-share-price/lmw/lmw/500252/financials-annual-reports/
532478,UBL,A,2132.9,2132.9,2056.5,2084.05,1627,33.78,280,https://www.bseindia.com/stock-share-price/ubl/ubl/532478/financials-annual-reports/
513375,CARBORUNIV,A,1450.0,1470.0,1442.45,1465.0,2310,33.75,497,https://www.bseindia.com/stock-share-price/carboruniv/carboruniv/513375/financials-annual-reports/
524200,VINATIORGA,A,2000.9,2009.95,1960.0,1964.45,1701,33.68,229,https://www.bseindia.com/stock-share-price/vinatiorga/vinatiorga/524200/financials-annual-reports/
530999,BALAMINES,A,2240.4,2268.05,2226.0,2240.35,1482,33.29,314,https://www.bseindia.com/stock-share-price/balamines/balamines/530999/financials-annual-reports/
